Obstacles. Obstacles are stored as rectangles. Rectangle is denoted by two points; top left and bottom right.
Top Left X	Top Left X Y	Bottom Right X	Bottom Right Y
1325	1125	1375	1175
1425	1125	1475	1175
1525	1125	1575	1175
1625	1125	1675	1175
1725	1125	1775	1175
1825	1125	1875	1175
1925	1125	1975	1175
2025	1125	2075	1175
2125	1125	2175	1175
2225	1125	2275	1175
2325	1125	2375	1175
2425	1125	2475	1175
2525	1125	2575	1175
2625	1125	2675	1175
2725	1125	2775	1175
2825	1125	2875	1175
2925	1125	2975	1175
25	1225	75	1275
125	1225	175	1275
225	1225	275	1275
325	1225	375	1275
425	1225	475	1275
525	1225	575	1275
625	1225	675	1275
725	1225	775	1275
825	1225	875	1275
925	1225	975	1275
1025	1225	1075	1275
1125	1225	1175	1275
1225	1225	1275	1275
1325	1225	1375	1275
1425	1225	1475	1275
1525	1225	1575	1275
1625	1225	1675	1275
1725	1225	1775	1275
1825	1225	1875	1275
1925	1225	1975	1275
2025	1225	2075	1275
2125	1225	2175	1275
2225	1225	2275	1275
2325	1225	2375	1275
2425	1225	2475	1275
2525	1225	2575	1275
2625	1225	2675	1275
2725	1225	2775	1275
2825	1225	2875	1275
2925	1225	2975	1275
25	1325	75	1375
125	1325	175	1375
225	1325	275	1375
325	1325	375	1375
425	1325	475	1375
525	1325	575	1375
625	1325	675	1375
725	1325	775	1375
825	1325	875	1375
925	1325	975	1375
1025	1325	1075	1375
1125	1325	1175	1375
1225	1325	1275	1375
1325	1325	1375	1375
1425	1325	1475	1375
1525	1325	1575	1375
1625	1325	1675	1375
1725	1325	1775	1375
1825	1325	1875	1375
1925	1325	1975	1375
2025	1325	2075	1375
2125	1325	2175	1375
2225	1325	2275	1375
2325	1325	2375	1375
2425	1325	2475	1375
2525	1325	2575	1375
2625	1325	2675	1375
2725	1325	2775	1375
2825	1325	2875	1375
2925	1325	2975	1375
25	1425	75	1475
125	1425	175	1475
225	1425	275	1475
325	1425	375	1475
425	1425	475	1475
525	1425	575	1475
625	1425	675	1475
725	1425	775	1475
825	1425	875	1475
925	1425	975	1475
1025	1425	1075	1475
1125	1425	1175	1475
1225	1425	1275	1475
1325	1425	1375	1475
1425	1425	1475	1475
1525	1425	1575	1475
1625	1425	1675	1475
1725	1425	1775	1475
1825	1425	1875	1475
1925	1425	1975	1475
2025	1425	2075	1475
2125	1425	2175	1475
2225	1425	2275	1475
2325	1425	2375	1475
2425	1425	2475	1475
2525	1425	2575	1475
2625	1425	2675	1475
2725	1425	2775	1475
2825	1425	2875	1475
2925	1425	2975	1475
25	1525	75	1575
125	1525	175	1575
225	1525	275	1575
325	1525	375	1575
425	1525	475	1575
525	1525	575	1575
625	1525	675	1575
725	1525	775	1575
825	1525	875	1575
925	1525	975	1575
1025	1525	1075	1575
1125	1525	1175	1575
1225	1525	1275	1575
1325	1525	1375	1575
1425	1525	1475	1575
1525	1525	1575	1575
1625	1525	1675	1575
1725	1525	1775	1575
1825	1525	1875	1575
1925	1525	1975	1575
2025	1525	2075	1575
2125	1525	2175	1575
2225	1525	2275	1575
2325	1525	2375	1575
2425	1525	2475	1575
2525	1525	2575	1575
2625	1525	2675	1575
2725	1525	2775	1575
2825	1525	2875	1575
2925	1525	2975	1575
25	1625	75	1675
125	1625	175	1675
225	1625	275	1675
325	1625	375	1675
425	1625	475	1675
525	1625	575	1675
625	1625	675	1675
725	1625	775	1675
825	1625	875	1675
925	1625	975	1675
1025	1625	1075	1675
1125	1625	1175	1675
1225	1625	1275	1675
1325	1625	1375	1675
1425	1625	1475	1675
1525	1625	1575	1675
1625	1625	1675	1675
1725	1625	1775	1675
1825	1625	1875	1675
1925	1625	1975	1675
2025	1625	2075	1675
2125	1625	2175	1675
2225	1625	2275	1675
2325	1625	2375	1675
2425	1625	2475	1675
2525	1625	2575	1675
2625	1625	2675	1675
2725	1625	2775	1675
2825	1625	2875	1675
2925	1625	2975	1675
25	1725	75	1775
125	1725	175	1775
225	1725	275	1775
325	1725	375	1775
425	1725	475	1775
525	1725	575	1775
625	1725	675	1775
725	1725	775	1775
825	1725	875	1775
925	1725	975	1775
1025	1725	1075	1775
1125	1725	1175	1775
1225	1725	1275	1775
1325	1725	1375	1775
1425	1725	1475	1775
1525	1725	1575	1775
1625	1725	1675	1775
1725	1725	1775	1775
1825	1725	1875	1775
1925	1725	1975	1775
2025	1725	2075	1775
2125	1725	2175	1775
2225	1725	2275	1775
2325	1725	2375	1775
2425	1725	2475	1775
2525	1725	2575	1775
2625	1725	2675	1775
2725	1725	2775	1775
2825	1725	2875	1775
2925	1725	2975	1775
25	1825	75	1875
125	1825	175	1875
225	1825	275	1875
325	1825	375	1875
425	1825	475	1875
525	1825	575	1875
625	1825	675	1875
725	1825	775	1875
825	1825	875	1875
925	1825	975	1875
1025	1825	1075	1875
1125	1825	1175	1875
1225	1825	1275	1875
1325	1825	1375	1875
1425	1825	1475	1875
1525	1825	1575	1875
1625	1825	1675	1875
1725	1825	1775	1875
1825	1825	1875	1875
1925	1825	1975	1875
2025	1825	2075	1875
2125	1825	2175	1875
2225	1825	2275	1875
2325	1825	2375	1875
2425	1825	2475	1875
2525	1825	2575	1875
2625	1825	2675	1875
2725	1825	2775	1875
2825	1825	2875	1875
2925	1825	2975	1875
25	1925	75	1975
125	1925	175	1975
225	1925	275	1975
325	1925	375	1975
425	1925	475	1975
525	1925	575	1975
625	1925	675	1975
725	1925	775	1975
825	1925	875	1975
925	1925	975	1975
1025	1925	1075	1975
1125	1925	1175	1975
1225	1925	1275	1975
1325	1925	1375	1975
1425	1925	1475	1975
1525	1925	1575	1975
1625	1925	1675	1975
1725	1925	1775	1975
1825	1925	1875	1975
1925	1925	1975	1975
2025	1925	2075	1975
2125	1925	2175	1975
2225	1925	2275	1975
2325	1925	2375	1975
2425	1925	2475	1975
2525	1925	2575	1975
2625	1925	2675	1975
2725	1925	2775	1975
2825	1925	2875	1975
2925	1925	2975	1975
25	2025	75	2075
125	2025	175	2075
225	2025	275	2075
325	2025	375	2075
425	2025	475	2075
525	2025	575	2075
625	2025	675	2075
725	2025	775	2075
825	2025	875	2075
925	2025	975	2075
1025	2025	1075	2075
1125	2025	1175	2075
1225	2025	1275	2075
1325	2025	1375	2075
1425	2025	1475	2075
1525	2025	1575	2075
1625	2025	1675	2075
1725	2025	1775	2075
1825	2025	1875	2075
1925	2025	1975	2075
2025	2025	2075	2075
2125	2025	2175	2075
2225	2025	2275	2075
2325	2025	2375	2075
2425	2025	2475	2075
2525	2025	2575	2075
2625	2025	2675	2075
2725	2025	2775	2075
2825	2025	2875	2075
2925	2025	2975	2075
25	2125	75	2175
125	2125	175	2175
225	2125	275	2175
325	2125	375	2175
425	2125	475	2175
525	2125	575	2175
625	2125	675	2175
725	2125	775	2175
825	2125	875	2175
925	2125	975	2175
1025	2125	1075	2175
1125	2125	1175	2175
1225	2125	1275	2175
1325	2125	1375	2175
1425	2125	1475	2175
1525	2125	1575	2175
1625	2125	1675	2175
1725	2125	1775	2175
1825	2125	1875	2175
1925	2125	1975	2175
2025	2125	2075	2175
2125	2125	2175	2175
2225	2125	2275	2175
2325	2125	2375	2175
2425	2125	2475	2175
2525	2125	2575	2175
2625	2125	2675	2175
2725	2125	2775	2175
2825	2125	2875	2175
2925	2125	2975	2175
25	2225	75	2275
125	2225	175	2275
225	2225	275	2275
325	2225	375	2275
425	2225	475	2275
525	2225	575	2275
625	2225	675	2275
725	2225	775	2275
825	2225	875	2275
925	2225	975	2275
1025	2225	1075	2275
1125	2225	1175	2275
1225	2225	1275	2275
1325	2225	1375	2275
1425	2225	1475	2275
1525	2225	1575	2275
1625	2225	1675	2275
1725	2225	1775	2275
1825	2225	1875	2275
1925	2225	1975	2275
2025	2225	2075	2275
2125	2225	2175	2275
2225	2225	2275	2275
2325	2225	2375	2275
2425	2225	2475	2275
2525	2225	2575	2275
2625	2225	2675	2275
2725	2225	2775	2275
2825	2225	2875	2275
2925	2225	2975	2275
25	2325	75	2375
125	2325	175	2375
225	2325	275	2375
325	2325	375	2375
425	2325	475	2375
525	2325	575	2375
625	2325	675	2375
725	2325	775	2375
825	2325	875	2375
925	2325	975	2375
1025	2325	1075	2375
1125	2325	1175	2375
1225	2325	1275	2375
1325	2325	1375	2375
1425	2325	1475	2375
1525	2325	1575	2375
1625	2325	1675	2375
1725	2325	1775	2375
1825	2325	1875	2375
1925	2325	1975	2375
2025	2325	2075	2375
2125	2325	2175	2375
2225	2325	2275	2375
2325	2325	2375	2375
2425	2325	2475	2375
2525	2325	2575	2375
2625	2325	2675	2375
2725	2325	2775	2375
2825	2325	2875	2375
2925	2325	2975	2375
25	2425	75	2475
125	2425	175	2475
225	2425	275	2475
325	2425	375	2475
425	2425	475	2475
525	2425	575	2475
625	2425	675	2475
725	2425	775	2475
825	2425	875	2475
925	2425	975	2475
1025	2425	1075	2475
1125	2425	1175	2475
1225	2425	1275	2475
1325	2425	1375	2475
1425	2425	1475	2475
1525	2425	1575	2475
1625	2425	1675	2475
1725	2425	1775	2475
1825	2425	1875	2475
1925	2425	1975	2475
2025	2425	2075	2475
2125	2425	2175	2475
2225	2425	2275	2475
2325	2425	2375	2475
2425	2425	2475	2475
2525	2425	2575	2475
2625	2425	2675	2475
2725	2425	2775	2475
2825	2425	2875	2475
2925	2425	2975	2475
25	2525	75	2575
125	2525	175	2575
225	2525	275	2575
325	2525	375	2575
425	2525	475	2575
525	2525	575	2575
625	2525	675	2575
725	2525	775	2575
825	2525	875	2575
925	2525	975	2575
1025	2525	1075	2575
1125	2525	1175	2575
1225	2525	1275	2575
1325	2525	1375	2575
1425	2525	1475	2575
1525	2525	1575	2575
1625	2525	1675	2575
1725	2525	1775	2575
1825	2525	1875	2575
1925	2525	1975	2575
2025	2525	2075	2575
2125	2525	2175	2575
2225	2525	2275	2575
2325	2525	2375	2575
2425	2525	2475	2575
2525	2525	2575	2575
2625	2525	2675	2575
2725	2525	2775	2575
2825	2525	2875	2575
2925	2525	2975	2575
25	2625	75	2675
125	2625	175	2675
225	2625	275	2675
325	2625	375	2675
425	2625	475	2675
525	2625	575	2675
625	2625	675	2675
725	2625	775	2675
825	2625	875	2675
925	2625	975	2675
1025	2625	1075	2675
1125	2625	1175	2675
1225	2625	1275	2675
1325	2625	1375	2675
1425	2625	1475	2675
1525	2625	1575	2675
1625	2625	1675	2675
1725	2625	1775	2675
1825	2625	1875	2675
1925	2625	1975	2675
2025	2625	2075	2675
2125	2625	2175	2675
2225	2625	2275	2675
2325	2625	2375	2675
2425	2625	2475	2675
2525	2625	2575	2675
2625	2625	2675	2675
2725	2625	2775	2675
2825	2625	2875	2675
2925	2625	2975	2675
25	2725	75	2775
125	2725	175	2775
225	2725	275	2775
325	2725	375	2775
425	2725	475	2775
525	2725	575	2775
625	2725	675	2775
725	2725	775	2775
825	2725	875	2775
925	2725	975	2775
1025	2725	1075	2775
1125	2725	1175	2775
1225	2725	1275	2775
1325	2725	1375	2775
1425	2725	1475	2775
1525	2725	1575	2775
1625	2725	1675	2775
1725	2725	1775	2775
1825	2725	1875	2775
1925	2725	1975	2775
2025	2725	2075	2775
2125	2725	2175	2775
2225	2725	2275	2775
2325	2725	2375	2775
2425	2725	2475	2775
2525	2725	2575	2775
2625	2725	2675	2775
2725	2725	2775	2775
2825	2725	2875	2775
2925	2725	2975	2775
25	2825	75	2875
125	2825	175	2875
225	2825	275	2875
325	2825	375	2875
425	2825	475	2875
525	2825	575	2875
625	2825	675	2875
725	2825	775	2875
825	2825	875	2875
925	2825	975	2875
1025	2825	1075	2875
1125	2825	1175	2875
1225	2825	1275	2875
1325	2825	1375	2875
1425	2825	1475	2875
1525	2825	1575	2875
1625	2825	1675	2875
1725	2825	1775	2875
1825	2825	1875	2875
1925	2825	1975	2875
2025	2825	2075	2875
2125	2825	2175	2875
2225	2825	2275	2875
2325	2825	2375	2875
2425	2825	2475	2875
2525	2825	2575	2875
2625	2825	2675	2875
2725	2825	2775	2875
2825	2825	2875	2875
2925	2825	2975	2875
25	2925	75	2975
125	2925	175	2975
225	2925	275	2975
325	2925	375	2975
425	2925	475	2975
525	2925	575	2975
625	2925	675	2975
725	2925	775	2975
825	2925	875	2975
925	2925	975	2975
1025	2925	1075	2975
1125	2925	1175	2975
1225	2925	1275	2975
1325	2925	1375	2975
1425	2925	1475	2975
1525	2925	1575	2975
1625	2925	1675	2975
1725	2925	1775	2975
1825	2925	1875	2975
1925	2925	1975	2975
2025	2925	2075	2975
2125	2925	2175	2975
2225	2925	2275	2975
2325	2925	2375	2975
2425	2925	2475	2975
2525	2925	2575	2975
2625	2925	2675	2975
2725	2925	2775	2975
2825	2925	2875	2975
2925	2925	2975	2975
